﻿Venue Name,Venue address,Venue type,Latitude,Longitude,Suburb,suburb_list,geolocation
'Grow for Life' Abbeville Street Community Garden,"'Grow for Life' Abbeville Street Community Garden, 41 Abbeville Street, Upper Mt Gravatt","Community Garden,Non-Council venue",-27.54443,153.088797,Upper Mt Gravatt,"U, Upper Mt Gravatt","-27.54443, 153.088797"
"7th Brigade Park, Chermside","7th Brigade Park, 21 Kittyhawk Drive, Chermside",Park,-27.3794,153.0303,Chermside,"C, Chermside","-27.3794, 153.0303"
A.J. Jones Recreation Reserve,"A.J. Jones Recreation Reserve, 247 Cornwall Street,  Greenslopes",Park,-27.502603,153.043796,Greenslopes,"G, Greenslopes","-27.502603, 153.043796"
"A.R.C. Hill Park, Virginia","A.R.C. Hill Park, 93 Goss Road, Virginia",Park,-27.3844,153.0558,Virginia,"V, Virginia","-27.3844, 153.0558"
"Abbeville Street Park, Upper Mount Gravatt","Abbeville Street Park, 41 Abbeville Street, Upper Mount Gravatt","Community Garden,Park",-27.5451,153.09,Upper Mt Gravatt,"U, Upper Mt Gravatt","-27.5451, 153.09"
"Abbott Street Park, Camp Hill","Abbott Street Park, 50 Abbott Street, Camp Hill",Park,-27.4998,153.0859,Camp Hill,"C, Camp Hill","-27.4998, 153.0859"
"Acacia Park, St Lucia","Acacia Park, 279 Carmody Road, St Lucia",Park,-27.4992,153.008,St Lucia,"S, St Lucia","-27.4992, 153.008"
Acacia Ridge Community Garden,"Belong Community Garden, 21 Hanify Street, Acacia Ridge","Community Garden,Non-Council venue",-27.5797,153.019,Acacia Ridge,"A, Acacia Ridge","-27.5797, 153.019"
"Acacia Ridge Hall, Acacia Ridge","Acacia Ridge Hall, 13 Coley Street, Acacia Ridge",Community Hall,-27.5874,153.0258,Acacia Ridge,"A, Acacia Ridge","-27.5874, 153.0258"
"Acacia Ridge Leisure Centre, Acacia Ridge","Acacia Ridge Leisure Centre, 1391 Beaudesert Road, Acacia Ridge",Swimming pool,-27.5863,153.0263,Acacia Ridge,"A, Acacia Ridge","-27.5863, 153.0263"
"Acacia Ridge Treasure Trove, Acacia Ridge","Acacia Ridge Treasure Trove, 46 Colebard Street West, Acacia Ridge",General Council venue,-27.5777,153.0007,Acacia Ridge,"A, Acacia Ridge","-27.5777, 153.0007"
"Acorn Circuit Park, Forest Lake","Acorn Circuit Park, 54 Acorn Circuit, Forest Lake",Park,-27.6086,152.9665,Forest Lake,"F, Forest Lake","-27.6086, 152.9665"
Adam Smiddy Park,"Adam Smiddy Park, 25 Park Road, Milton",Park,-27.470603,153.004388,Milton,"M, Milton","-27.470603, 153.004388"
"Admiralty Towers II Park, Brisbane City","Admiralty Towers II Park, 501 Queen Street, Brisbane City",Park,-27.4641,153.0315,Brisbane City,"B, Brisbane City","-27.4641, 153.0315"
"Advanx Street Park, Kenmore Hills","Advanx Street Park, 48 Advanx Street, Kenmore Hills",Park,-27.5012,152.9357,Kenmore Hills,"K, Kenmore Hills","-27.5012, 152.9357"
"Akuna Street Park, Kenmore","Akuna Street Park, 114 Akuna Street, Kenmore",Park,-27.5131,152.9503,Kenmore,"K, Kenmore","-27.5131, 152.9503"
"Alan Willing Place Park, The Gap","Alan Willing Place Park, 10 Bernarra Street, The Gap",Park,-27.4482,152.9595,The Gap,"T, The Gap","-27.4482, 152.9595"
"Albany Creek Road Reserve, Bridgeman Downs","Albany Creek Road Reserve, 534 Albany Creek Road, Bridgeman Downs",Park,-27.352,152.9848,Bridgeman Downs,"B, Bridgeman Downs","-27.352, 152.9848"
"Albany Creek Roadside Park, Bridgeman Downs","Albany Creek Roadside Park, Albany Creek Road, Bridgeman Downs",Park,-27.34999,152.9780313,Bridgeman Downs,"B, Bridgeman Downs","-27.34999, 152.9780313"
"Albert Bishop Criterium track, Nundah","Albert Bishop Criterium track, Hedley Avenue and Walkers Way, Nundah",Non-Council venue,-27.4090359,153.0682777,Nundah,"N, Nundah","-27.4090359, 153.0682777"
"Albert Bishop Park, Nundah","Albert Bishop Park, 40 Hendley Avenue, Nundah",Park,-27.405,153.0683,Nundah,"N, Nundah","-27.405, 153.0683"
"Albion Overpass Park, Albion","Albion Overpass Park, 66 Albion Road, Albion",Park,-27.4297,153.0385,Albion,"A, Albion","-27.4297, 153.0385"
"Albion Post Office Park, Albion","Albion Post Office Park, 389 Sandgate Road, Albion",Park,-27.4291,153.0431,Albion,"A, Albion","-27.4291, 153.0431"
"Alcheringa Place Park, Robertson","Alcheringa Place Park, 39A Barrett Street, Robertson",Park,-27.561,153.0539,Robertson,"R, Robertson","-27.561, 153.0539"
"Alderley Grove Park, Alderley","Alderley Grove Park, 57 Chelford Street, Alderley",Park,-27.4199,153.0077,Alderley,"A, Alderley","-27.4199, 153.0077"
"Aldren Street Park, Stafford Heights","Aldren Street Park, 1 Maryland Street, Stafford Heights",Park,-27.3958,153.012,Stafford Heights,"S, Stafford Heights","-27.3958, 153.012"
"Alexander Macpherson Park, Nudgee","Alexander Macpherson Park, 10B Student Street, Nudgee",Park,-27.3721,153.0882,Nudgee,"N, Nudgee","-27.3721, 153.0882"
"Alexander Park, Moorooka","Alexander Park, 334 Beaudesert Road, Moorooka",Park,-27.5389,153.0236,Moorooka,"M, Moorooka","-27.5389, 153.0236"
"Alexander Smith Place, South Brisbane","Alexander Smith Place, 63 Grey Street, South Brisbane",Park,-27.472,153.0169,South Brisbane,"S, South Brisbane","-27.472, 153.0169"
"Alfred & Lucina Best Park, The Gap","Alfred & Lucina Best Park, 89 Payne Road, The Gap",Park,-27.4490697,152.9512835,The Gap,"T, The Gap","-27.4490697, 152.9512835"
"Algester Road Park, Calamvale","Algester Road Park, 35 Hailey Place, Calamvale",Park,-27.6365,153.0292,Calamvale,"C, Calamvale","-27.6365, 153.0292"
"Algoori Street Park, Morningside","Algoori Street Park, 121 Algoori Street, Morningside",Park,-27.4627,153.0785,Morningside,"M, Morningside","-27.4627, 153.0785"
"Allamanda Street Park, The Gap","Allamanda Street Park, 41 Allamanda Street, The Gap",Park,-27.4501,152.9362,The Gap,"T, The Gap","-27.4501, 152.9362"
"Allara Place Park, Eight Mile Plains","Allara Place Park, 2643 Logan Road, Eight Mile Plains",Park,-27.5832,153.0967,Eight Mile Plains,"E, Eight Mile Plains","-27.5832, 153.0967"
"Allawah Street Park, Yeerongpilly","Allawah Street Park, 18 Allawah Street, Yeerongpilly",Park,-27.5308,153.0105,Yeerongpilly,"Y, Yeerongpilly","-27.5308, 153.0105"
"Amarina Avenue Park, Ashgrove","Amarina Avenue Park, 87 Amarina Avenue, Ashgrove",Park,-27.4444,152.9864,Ashgrove,"A, Ashgrove","-27.4444, 152.9864"
"Amazons Place Park, Sinnamon Park","Amazons Place Park, 60 Thomas Macleod Avenue, Sinnamon Park",Park,-27.5306,152.9523,Sinnamon Park,"S, Sinnamon Park","-27.5306, 152.9523"
"Amberjack Street Park, Manly West","Amberjack Street Park, 49 Amberjack Street, Manly West",Park,-27.4724,153.1645,Manly West,"M, Manly West","-27.4724, 153.1645"
"Amelia Park, Gordon Park","Amelia Park, 54A Swan Street, Gordon Park",Park,-27.4154,153.034,Gordon Park,"G, Gordon Park","-27.4154, 153.034"
"Amott Street Park, Stafford Heights","Amott Street Park, 20 Ringrose Street, Stafford Heights",Park,-27.3989,153.0165,Stafford Heights,"S, Stafford Heights","-27.3989, 153.0165"
"Anna Smith OBE Quota Park, Carindale","Anna Smith OBE Quota Park, 1159 Old Cleveland Road, Carindale",Park,-27.5035,153.1061,Carindale,"C, Carindale","-27.5035, 153.1061"
"Annerley Hall, Annerley","Annerley Hall, 13 Waldheim Street, Annerley",Community Hall,-27.5097,153.034,Annerley,"A, Annerley","-27.5097, 153.034"
Annerley Library,"Annerley Library, 448 Ipswich Road, Annerley",Library,-27.5096,153.0331,Annerley,"A, Annerley","-27.5096, 153.0331"
"Anstead Bushland Reserve, Anstead","Anstead Bushland Reserve, 552 Hawkesbury Road, Anstead",Park,-27.5463,152.857,Anstead,"A, Anstead","-27.5463, 152.857"
"Antrim Street Park, Acacia Ridge","Antrim Street Park, 21 Antrim Street, Acacia Ridge",Park,-27.5939,153.0219,Acacia Ridge,"A, Acacia Ridge","-27.5939, 153.0219"
"Anzac Park, Toowong","Anzac Park, 100 Dean Street, Toowong",Park,-27.4796,152.98,Toowong,"T, Toowong","-27.4796, 152.98"
"Anzac Road Park, Carina Heights","Anzac Road Park, 49 Anzac Road, Carina Heights",Park,-27.4985,153.0917,Carina Heights,"C, Carina Heights","-27.4985, 153.0917"
"Anzac Square, Brisbane City","Anzac Square, 228 Adelaide Street, Brisbane City",Park,-27.4665,153.0266,Brisbane City,"B, Brisbane City","-27.4665, 153.0266"
"Appia Avenue Park, Seven Hills","Appia Avenue Park, 44A Appia Avenue, Seven Hills",Park,-27.4795,153.07,Seven Hills,"S, Seven Hills","-27.4795, 153.07"
"Arbor Street Park, Ferny Grove","Arbor Street Park, 1200 Samford Road, Ferny Grove",Park,-27.4049,152.9378,Ferny Grove,"F, Ferny Grove","-27.4049, 152.9378"
"Archer Parade Park, Corinda","Archer Parade Park, 430 Cliveden Avenue, Corinda",Park,-27.5466,152.9933,Corinda,"C, Corinda","-27.5466, 152.9933"
"Archer Street Park, Gordon Park","Archer Street Park, 26 Archer Street, Gordon Park",Park,-27.4217,153.0249,Gordon Park,"G, Gordon Park","-27.4217, 153.0249"
"Archerfield Wetlands Community Hub, Durack","Archerfield Wetlands District Park, 455 Bowhill Road, Durack","Community Hall,General Council venue",-27.5861158,152.9884188,Durack,"D, Durack","-27.5861158, 152.9884188"
"Arenga Street Park, Wakerley","Arenga Street Park, 2 Arenga Street, Wakerley",Park,-27.4762,153.1523,Wakerley,"W, Wakerley","-27.4762, 153.1523"
"Argyle Place Park, Forest Lake","Argyle Place Park, 12 Lakeside Crescent, Forest Lake",Park,-27.6237,152.9579,Forest Lake,"F, Forest Lake","-27.6237, 152.9579"
"Arnwood Street Park, Annerley","Arnwood Street Park, 21 Arnwood Place, Annerley",Park,-27.5133,153.0402,Annerley,"A, Annerley","-27.5133, 153.0402"
"Arrabri Avenue Park, Mt Ommaney","Arrabri Avenue Park, 5 Westlake Drive, Mt Ommaney",Park,-27.5472,152.9317,Mt Ommaney,"M, Mt Ommaney","-27.5472, 152.9317"
"Arthur Alfred Pointer Park, The Gap","Arthur Alfred Pointer Park, 30 Dillon Road, The Gap",Park,-27.4534,152.9335,The Gap,"T, The Gap","-27.4534, 152.9335"
"Arthur Davis Park, Sandgate","Arthur Davis Park, Flinders Parade, Sandgate",Park,-27.3121,153.0683,Sandgate,"S, Sandgate","-27.3121, 153.0683"
"Arthur Postle Park, Acacia Ridge","Arthur Postle Park, 72 Oswin Street, Acacia Ridge",Park,-27.584625,153.028283,Acacia Ridge,"A, Acacia Ridge","-27.584625, 153.028283"
"Ascot Park, Ascot","Ascot Park, 93 Kitchener Road, Ascot",Park,-27.4298,153.063,Ascot,"A, Ascot","-27.4298, 153.063"
"Ashgrove Avenue Park, Ashgrove","Ashgrove Avenue Park, 214 Ashgrove Avenue, Ashgrove",Park,-27.4361,153.0037,Ashgrove,"A, Ashgrove","-27.4361, 153.0037"
Ashgrove Library,"Ashgrove Library, 87 Amarina Avenue, Ashgrove",Library,-27.443946,152.987098,Ashgrove,"A, Ashgrove","-27.443946, 152.987098"
"Ashgrove Memorial Park, Ashgrove","Ashgrove Memorial Park, 19 Kadanga Street, Ashgrove",Park,-27.4448,152.9908,Ashgrove,"A, Ashgrove","-27.4448, 152.9908"
"Ashgrove Quarry Park, Ashgrove","Ashgrove Quarry Park, 142 St Johns Avenue, Ashgrove",Park,-27.4442,152.9648,Ashgrove,"A, Ashgrove","-27.4442, 152.9648"
"Ashgrove Scenic Reserve, Ashgrove","Ashgrove Scenic Reserve, 121 St Johns Avenue, Ashgrove",Park,-27.4421,152.9651,Ashgrove,"A, Ashgrove","-27.4421, 152.9651"
"Ashgrove Sportsground Park, Ashgrove","Ashgrove Sportsground Park, 258 Acacia Drive, Ashgrove",Park,-27.4419,152.9735,Ashgrove,"A, Ashgrove","-27.4419, 152.9735"
"Ashridge Road Park, Darra","Ashridge Road Park, 148 Monier Road, Darra",Park,-27.5613636,152.956675,Darra,"D, Darra","-27.5613636, 152.956675"
Aspley mobile library,"Aspley mobile library, Corner Gayford and Albany Creek Roads, Aspley",Mobile library,-27.3636,153.0157,Aspley,"A, Aspley","-27.3636, 153.0157"
"Aspley Rest Park, Carseldine","Aspley Rest Park, 8 Graham Road, Carseldine",Park,-27.3581,153.0149,Carseldine,"C, Carseldine","-27.3581, 153.0149"
Aspley Special School Garden,"Aspley Special School Garden, 751 Zillmere Road, Zillmere","Community Garden,Non-Council venue",-27.3569,153.0219,Zillmere,"Z, Zillmere","-27.3569, 153.0219"
"Assembly Street Park (no. 75), Salisbury","Assembly Street Park (no. 75), 63 Fairlie Terrace, Salisbury",Park,-27.5477,153.0242,Salisbury,"S, Salisbury","-27.5477, 153.0242"
"Assembly Street Park, Salisbury","Assembly Street Park, 59 Assembly Street, Salisbury",Park,-27.5486,153.0256,Salisbury,"S, Salisbury","-27.5486, 153.0256"
"Austin Uhlmann Park, Morningside","Austin Uhlmann Park, 193 Richmond Road, Morningside",Park,-27.4729,153.0806,Morningside,"M, Morningside","-27.4729, 153.0806"
"Avondale Park, Sinnamon Park","Avondale Park, 32 Blyde Street, Sinnamon Park",Park,-27.5434,152.9449,Sinnamon Park,"S, Sinnamon Park","-27.5434, 152.9449"
"Bacton Road Park, Chandler","Bacton Road Park, 727 Tilley Road, Chandler",Park,-27.5182,153.1538,Chandler,"C, Chandler","-27.5182, 153.1538"
"Badrick Place Park, The Gap","Badrick Place Park, 21 Inwood Place, The Gap",Park,-27.4321,152.939,The Gap,"T, The Gap","-27.4321, 152.939"
"Bakery Lane, Fortitude Valley","Bakery Lane, 690 Ann Street, Fortitude Valley",General Council venue,-27.458021,153.03534,Fortitude Valley,"F, Fortitude Valley","-27.458021, 153.03534"
Balaangala Community Group Garden Space,"Balaangala Community Group Garden Space, 98 Yoorala Street, The Gap","Community Garden,Non-Council venue",-27.4494,152.9387,The Gap,"T, The Gap","-27.4494, 152.9387"
"Bald Hills Cemetery, Bracken Ridge","Bald Hills Cemetery, 225 Barrett Street, Bracken Ridge",General Council venue,-27.3181,153.0334,Bracken Ridge,"B, Bracken Ridge","-27.3181, 153.0334"
"Balis Street Park, Holland Park West","Balis Street Park, 72 Marshall Road, Holland Park West",Park,-27.5241,153.0617,Holland Park West,"H, Holland Park West","-27.5241, 153.0617"
"Ballinderry Street Park, Everton Park","Ballinderry Street Park, 17 Ballinderry Street, Everton Park",Park,-27.3976,152.9829,Everton Park,"E, Everton Park","-27.3976, 152.9829"
"Balmoral Cemetery, Morningside","Balmoral Cemetery, 441 Wynnum Road, Morningside",General Council venue,-27.4695,153.0659,Morningside,"M, Morningside","-27.4695, 153.0659"
"Balmoral Park, Morningside","Balmoral Park, 481 Wynnum Road, Morningside",Park,-27.4721,153.0666,Morningside,"M, Morningside","-27.4721, 153.0666"
"Bancroft Park, Kelvin Grove","Bancroft Park, 360 Kelvin Grove Road, Kelvin Grove",Park,-27.4438,153.006,Kelvin Grove,"K, Kelvin Grove","-27.4438, 153.006"
"Bangalow Street Park (no. 192), Bridgeman Downs","Bangalow Street Park, 192 Bangalow Street, Bridgeman Downs",Park,-27.441,152.9454,Bridgeman Downs,"B, Bridgeman Downs","-27.441, 152.9454"
"Banks Crescent Park, Wynnum West","Banks Crescent Park, 30 Balnave Street, Wynnum West",Park,-27.4513,153.1498,Wynnum West,"W, Wynnum West","-27.4513, 153.1498"
"Banks Street Reserve, Alderley","Banks Street Reserve, 26 View Street, Alderley",Park,-27.4342,152.9974,Alderley,"A, Alderley","-27.4342, 152.9974"
"Banksia Avenue Park, Ashgrove","Banksia Avenue Park, 56 Banksia Avenue, Ashgrove",Park,-27.4432,152.9776,Ashgrove,"A, Ashgrove","-27.4432, 152.9776"
"Banksia Village Park, Forest Lake","Banksia Village Park, 17A Banksia Circuit, Forest Lake",Park,-27.6116,152.9658,Forest Lake,"F, Forest Lake","-27.6116, 152.9658"
"Bannister Park, Hendra","Bannister Park, 116 Gerler Road, Hendra",Park,-27.4173,153.0701,Hendra,"H, Hendra","-27.4173, 153.0701"
Banyo Community Garden,"Banyo Community Garden, 37 Hilltop Place, Banyo","Community Garden,Non-Council venue",-27.3757,153.083,Banyo,"B, Banyo","-27.3757, 153.083"
Banyo Library,"Banyo Library, 284 St Vincents Road, Banyo",Library,-27.3743,153.0786,Banyo,"B, Banyo","-27.3743, 153.0786"
"Banyo Memorial Park, Banyo","Banyo Memorial Park, 300 St Vincents Rd, Banyo",Park,-27.3739,153.0784,Banyo,"B, Banyo","-27.3739, 153.0784"
"Bapaume Road Park (road reserve), Holland Park West","Bapaume Road Park, 238 Bapaume Road, Holland Park West",Park,-27.5356,153.0632,Holland Park West,"H, Holland Park West","-27.5356, 153.0632"
"Barbara Bryce Park, Coorparoo","Barbara Bryce Park, 45 Procyon Street, Coorparoo",Park,-27.5057,153.0695,Coorparoo,"C, Coorparoo","-27.5057, 153.0695"
"Barbour Road Park, Bracken Ridge","Barbour Road Park, 222 Barbour Road, Bracken Ridge",Park,-27.3232,153.0192,Bracken Ridge,"B, Bracken Ridge","-27.3232, 153.0192"
"Barcoorah Street Park, Westlake","Barcoorah Street Park, 88 Barcoorah Street, Westlake",Park,-27.5484,152.9047,Westlake,"W, Westlake","-27.5484, 152.9047"
"Bardon Park, Bardon","Bardon Park, 69 Bowman Parade, Bardon",Park,-27.4566,152.9787,Bardon,"B, Bardon","-27.4566, 152.9787"
"Barlow Place Park, Boondall","Barlow Place Park, 19 Sean Street, Boondall",Park,-27.3422,153.0568,Boondall,"B, Boondall","-27.3422, 153.0568"
"Barnard Street Park, Carindale","Barnard Street Park, 60 Bridgnorth Street, Carindale",Park,-27.5059,153.1111,Carindale,"C, Carindale","-27.5059, 153.1111"
Baroona Road Park (road reserve),"Baroona Road Park, 243 Baroona Road, Paddington",Park,-27.4652,152.9926,Paddington,"P, Paddington","-27.4652, 152.9926"
"Barramundi Street Park, Manly West","Barramundi Street Park, 30 Barramundi Street, Manly West",Park,-27.4718,153.1673,Manly West,"M, Manly West","-27.4718, 153.1673"
"Barrett Street Reserve (water reserve), Bracken Ridge","Barrett Street Reserve (water reserve), 110 Norris Road, Bracken Ridge",Park,-27.3215,153.0341,Bracken Ridge,"B, Bracken Ridge","-27.3215, 153.0341"
"Barrington Crescent Park, Wakerley","Barrington Crescent Park, 11 Barrington Crescent, Wakerley",Park,-27.4866,153.1562,Wakerley,"W, Wakerley","-27.4866, 153.1562"
"Barston Place Park, Coorparoo","Barston Place Park, 23 Norfolk Street, Coorparoo",Park,-27.5018,153.0636,Coorparoo,"C, Coorparoo","-27.5018, 153.0636"
"Bartleys Hill Outlook Reserve, Ascot","Bartleys Hill Outlook Reserve, 6 Massey Street, Ascot",Park,-27.4319,153.0518,Ascot,"A, Ascot","-27.4319, 153.0518"
"Barton Road Pocket Park, Hawthorne","Barton Road Pocket Park, 186 Barton Road, Hawthorne",Park,-27.4582,153.0535,Hawthorne,"H, Hawthorne","-27.4582, 153.0535"
"Barungwarra Bushland Reserve, Bald Hills","Barungwarra Bushland Reserve, 98 Bald Hills-Burpengary Road, Bald Hills",Park,-27.3038,153.0144,Bald Hills,"B, Bald Hills","-27.3038, 153.0144"
"Barwin Street Park, Wakerley","Barwin Street Park, 10 Barwin Street, Wakerley",Park,-27.4825,153.1561,Wakerley,"W, Wakerley","-27.4825, 153.1561"
"Barwon Street Park, Morningside","Barwon Street Park, 175 Beverley Street, Morningside",Park,-27.4579,153.0809,Morningside,"M, Morningside","-27.4579, 153.0809"
"Bayside Park, Manly","Bayside Park, 450 Esplanade, Manly",Park,-27.4521,153.187,Manly,"M, Manly","-27.4521, 153.187"
Bayside Parklands,"Bayside Parklands, access is from Wynnum, Manly, Lota and Ransome including Wynnum Road, Manly Road and Chelsea Road",Park,-27.4281,153.1672,Manly,"M, Manly","-27.4281, 153.1672"
"Beaudesert Road Park, Calamvale","Beaudesert Road Park, 2533 Beaudesert Road, Calamvale",Park,-27.6277412,153.0458374,Calamvale,"C, Calamvale","-27.6277412, 153.0458374"
"Beccaria Park, Doolandella","Beccaria Park, 8 Beccaria Place, Doolandella",Park,-27.6075,152.9852,Doolandella,"D, Doolandella","-27.6075, 152.9852"
"Beckett Road Park, McDowall","Beckett Road Park, 60 Paramount Circuit, McDowall",Park,-27.3734,152.9918,McDowall,"M, McDowall","-27.3734, 152.9918"
"Bedford Playground Park, Spring Hill","Bedford Playground Park, 33 Quarry Street, Spring Hill",Park,-27.4573,153.0283,Spring Hill,"S, Spring Hill","-27.4573, 153.0283"
"Bedgood Park, Milton","Bedgood Park, 5 Issac Street, Milton",Park,-27.46244,153.005336,Milton,"M, Milton","-27.46244, 153.005336"
Bedser Street Park,"23 Bedser St, Macgregor QLD 4109",Park,-27.5598288,153.0738831,Macgregor,"M, Macgregor","-27.5598288, 153.0738831"
Beelarong Community Farm,"Beelarong Community Farm, Corner York and Beverley Streets, Morningside",Community Garden,-27.4602,153.0786,Morningside,"M, Morningside","-27.4602, 153.0786"
"Behan Crescent Park, Wakerley","Behan Crescent Park, 30 Behan Crescent, Wakerley",Park,-27.4813,153.1549,Wakerley,"W, Wakerley","-27.4813, 153.1549"
"Beirne Lane, Fortitude Valley","Beirne Lane, Brunswick Street Mall, Fortitude Valley",General Council venue,-27.458036,153.03417,Fortitude Valley,"F, Fortitude Valley","-27.458036, 153.03417"
"Bekker Place Park, Kuraby","Bekker Place Park, 10 Bekker Place, Kuraby",Park,-27.6085,153.0997,Kuraby,"K, Kuraby","-27.6085, 153.0997"
"Beldale Park, Sunnybank Hills","Beldale Park, 12 Dapper Street, Sunnybank Hills",Park,-27.5985,153.0619,Sunnybank Hills,"S, Sunnybank Hills","-27.5985, 153.0619"
Bellbowrie mobile library,"Bellbowrie mobile library, Bellbowrie Shopping Plaza carpark, off Birkin Road, Bellbowrie",Mobile library,-27.5623,152.8885,Bellbowrie,"B, Bellbowrie","-27.5623, 152.8885"
"Bellbowrie Pool, Bellbowrie","Bellbowrie Pool, 47 Birkin Road, Bellbowrie",Swimming pool,-27.5638,152.8897,Bellbowrie,"B, Bellbowrie","-27.5638, 152.8897"
"Bellevue Avenue Park, Gaythorne","Bellevue Avenue Park, 107A Lade Street, Gaythorne",Park,-27.41,152.983,Gaythorne,"G, Gaythorne","-27.41, 152.983"
"Bellevue Terrace Park, St Lucia","Bellevue Terrace Park, 43 Sir Fred Schonell Drive, St Lucia",Park,-27.4934,152.9957,St Lucia,"S, St Lucia","-27.4934, 152.9957"
"Belloy Street Park, Wavell Heights","Belloy Street Park, 24 Belloy Street, Wavell Heights",Park,-27.3973,153.0429,Wavell Heights,"W, Wavell Heights","-27.3973, 153.0429"
"Belmont Hills Bushland, Carindale","Belmont Hills Bushland, 470 Weekes Road, Carindale",Park,-27.5087,153.1208,Carindale,"C, Carindale","-27.5087, 153.1208"
"Belmont Recreation Reserve, Carina","Belmont Recreation Reserve, 1006 Old Cleveland Road, Carina",Park,-27.4954,153.0961,Carina,"C, Carina","-27.4954, 153.0961"
"Ben Lomond Street Park, Aspley","Ben Lomond Street Park, 21 Muneera Crescent, Aspley",Park,-27.3671,153.0076,Aspley,"A, Aspley","-27.3671, 153.0076"
"Benarrawa Reserve, Corinda","Benarrawa Reserve, 68 Gray Avenue, Corinda",Park,-27.5428,152.9864,Corinda,"C, Corinda","-27.5428, 152.9864"
"Benbek Circuit Park, Sunnybank Hills","Benbek Circuit Park, 15 Benbek Circuit, Sunnybank Hills",Park,-27.6015,153.0427,Sunnybank Hills,"S, Sunnybank Hills","-27.6015, 153.0427"
"Bendell Park, Sunnybank Hills","Bendell Park, 131 Borella Road, Sunnybank Hills",Park,-27.5922,153.0548,Sunnybank Hills,"S, Sunnybank Hills","-27.5922, 153.0548"
"Benelong Park, Kedron","Benelong Park, 80 Eleventh Avenue, Kedron",Park,-27.4052,153.0404,Kedron,"K, Kedron","-27.4052, 153.0404"
"Benjamina Place Park, The Gap","Benjamina Place Park, 20 Benjamina Place, The Gap",Park,-27.4531,152.9411,The Gap,"T, The Gap","-27.4531, 152.9411"
"Bensara Place Park, Carseldine","Bensara Place Park, 8 Salito Street, Carseldine",Park,-27.3572,153.0093,Carseldine,"C, Carseldine","-27.3572, 153.0093"
"Berkshire Crescent Park, Wishart","Berkshire Crescent Park, 17 Berkshire Crescent, Wishart",Park,-27.549,153.0994,Wishart,"W, Wishart","-27.549, 153.0994"
"Bermingham Street Park, Alderley","Bermingham Street Park, 25 Bermingham Street, Alderley",Park,-27.4221,152.9985,Alderley,"A, Alderley","-27.4221, 152.9985"
"Bert Wolfe Park, Bald Hills","Bert Wolfe Park, 11 Ulva Street, Bald Hills",Park,-27.3138,153.0089,Bald Hills,"B, Bald Hills","-27.3138, 153.0089"
"Beryl McKenzie Park, Holland Park West","Beryl McKenzie Park, 54 Nursery Road, Holland Park West",Park,-27.5337,153.0641,Holland Park West,"H, Holland Park West","-27.5337, 153.0641"
"Beryl Roberts Park, Coopers Plains","Beryl Roberts Park, 45A Baroda Street, Coopers Plains",Park,-27.5652,153.0409,Coopers Plains,"C, Coopers Plains","-27.5652, 153.0409"
Bethania Street Community Garden,"Bethania Street Community Garden, 38 Bethania Street, Lota",Community Garden,-27.469,153.1841,Lota,"L, Lota","-27.469, 153.1841"
"Biami Yumba Park, Fig Tree Pocket","Biami Yumba Park (Fig Tree Pocket Reserve), 838 Fig Tree Pocket Road, Fig Tree Pocket",Park,-27.5407,152.9708,Fig Tree Pocket,"F, Fig Tree Pocket","-27.5407, 152.9708"
"Bill Benham Park, Hemmant","Bill Benham Park, 15 Wallflower Street, Hemmant",Park,-27.4467,153.1211,Hemmant,"H, Hemmant","-27.4467, 153.1211"
"Bill Brown Sports Reserve (includes Hidden World Playground), Fitzgibbon","Bill Brown Sports Reserve, 411 Roghan Road, Fitzgibbon",Park,-27.3399,153.0339,Fitzgibbon,"F, Fitzgibbon","-27.3399, 153.0339"
"Bill Brown Sports Reserve, Fitzgibbon","391 Telegraph Road, Fitzgibbon",Park,-27.3331907,153.0303239,Fitzgibbon,"F, Fitzgibbon","-27.3331907, 153.0303239"
"Bill Cash Memorial Park, Cannon Hill","Bill Cash Memorial Park, 898 Wynnum Road, Cannon Hill",Park,-27.467,153.0864,Cannon Hill,"C, Cannon Hill","-27.467, 153.0864"
"Bill Hewitt Reserve, Camp Hill","Bill Hewitt Reserve, 147 Samuel Street, Camp Hill",Park,-27.5034796,153.0837343,Camp Hill,"C, Camp Hill","-27.5034796, 153.0837343"
"Bill Key Lock Place Park, Inala","Bill Key Lock Place Park, 8 Bluejay Street, Inala",Park,-27.6028,152.982,Inala,"I, Inala","-27.6028, 152.982"
"Bill McFarlane Park, Wakerley","Bill McFarlane Park, 880 Manly Road, Wakerley",Park,-27.4763,153.1453,Wakerley,"W, Wakerley","-27.4763, 153.1453"
"Bill Moore Park, Salisbury","Bill Moore Park, 10 Toorak Road, Salisbury",Park,-27.5485,153.0282,Salisbury,"S, Salisbury","-27.5485, 153.0282"
"Billabong Place Park, Algester","Billabong Place Park, 223 Nottingham Road, Algester",Park,-27.6312,153.0353,Algester,"A, Algester","-27.6312, 153.0353"
"Bille Brown Theatre, South Brisbane","Bille Brown Theatre, 78 Montague Road, South Brisbane",Non-Council venue,-27.4719474,153.0140858,South Brisbane,"S, South Brisbane","-27.4719474, 153.0140858"
Billy Mateer Reserve,"Billy Mateer Reserve, 57 Prospect Terrace, Kelvin Grove",Park,-27.451437,153.0100529,Kelvin Grove,"K, Kelvin Grove","-27.451437, 153.0100529"
